Title,Genre(s),Developer(s),Publisher(s)
Harvest Moon: One World,Lifefarm simulation,Natsume,Natsume
Has-Been Heroes,Actionroguelikestrategy,Frozenbyte,Gamestrust
Hatoful Boyfriend,Visual novel,Mediatonic,Devolver Digital
Hatsune Miku: Project Diva Future Tone,Rhythm,Sega,Sega
Hatsune Miku: Project Diva X,Rhythm,Sega,Sega
Haven,Adventurerole-playing,The Game Bakers,The Game Bakers
Headlander,Action-adventure,Double Fine Productions,Adult Swim Games
Headliner: NoviNews,Simulation,Unbound Creations,Chorus Worldwide
Headsnatchers,Actionparty,IguanaBee,Iceberg Interactive
Heart&Slash,3D brawler,aheartfulofgames,BadLand Games
Heavenly Bodies,Spacesimulation,2pt Interactive,2pt Interactive
Heaven's Vault,Adventure,Inkle,Inkle
Heavy Rain,Interactive drama,Quantic Dream,Sony Computer Entertainment
Hellblade: Senua's Sacrifice,"Action, hack and slash",Ninja Theory,Ninja Theory
Helldivers,Shoot 'em up,Arrowhead Studios,Sony Computer Entertainment
Hellfront: Honeymoon,Shoot 'em up,Skygoblin,Thunderful Publishing
Hellmut: The Badass from Hell,Shooterroguelike,GrindstoneVolcani,2Tainment
Hellpoint,Action role-playing,Cradle Games,TinyBuild
Here They Lie,Horror,Tangentlemen,Sony Interactive Entertainment
Her Majesty's Spiffing,Point-and-click adventure,Billy Goat Entertainment,Billy Goat Entertainment
Hero Defense,Tower defense,Happy Tuesday,Headup Games
Hero Must Die. Again,Role-playingturn-based strategy,PyramidG-Mode,Degica Games
Hero Siege,Action role-playinghack and slash,Panic Art Studios,Panic Art Studios
Heroes of Hammerwatch: Ultimate Edition,Actionroguelike,Crackshell,Blitworks
Heroland,Role-playing,Netchubiyori,JP: FuRyuWW: Xseed Games
H-Hour: World's Elite,Tactical shooter,SOF Studios,SOF Studios
Hidden Agenda,Interactive drama,Supermassive Games,Sony Interactive Entertainment
Hidden Through Time,Puzzlehidden object,Crazy Monkey Studios,Crazy Monkey Studios
Hide & Dance!,Musicrhythm,hap inc.,hap inc.
Hindsight 20/20: Wrath of the Raakshasa,Action-adventure,Triple-I Games,Triple-I Games
Hitman,Stealth,IO Interactive,Square Enix
Hitman 2,Stealth,IO Interactive,WB Games
Hitman III,Stealth,IO Interactive,IO Interactive
Hitman Go,Puzzle,Square Enix Montréal,Square Enix
Hob,Action-adventure,Runic Games,Sony Interactive Entertainment
Hogwarts Legacy,Action-role playing,Avalanche Software,Portkey Games
Hohokum,Adventure,Honeyslug,Sony Computer Entertainment
Hollow Knight,Metroidvania,Team Cherry,Team Cherry
Holy Potatoes! A Weapon Shop?!,Adventurestrategy,Daylight Studios,Rising Star Games
Holy Potatoes! We're in Space?!,Adventurestrategy,Daylight Studios,Rising Star Games
Holy Potatoes! What the Hell?!,Adventurestrategy,Daylight Studios,Rising Star Games
Home: A Unique Horror Adventure,Survival horror,Benjamin Rivers,Benjamin Rivers
Home Free,Role-playing,Kevin Cancienne,Kevin Cancienne
Homefront: The Revolution,First-person shooter,Deep Silver Dambuster,Deep Silver
The Hong Kong Massacre,Top-down shooter,Vreski,Captain Rogue
Hood: Outlaws & Legends,Stealthaction,Sumo Digital,Focus Home Interactive
HoPiKo,Platform,Laser Dog,Merge Games
Horizon Chase Turbo,Racing,Aquiris Studio,Aquiris Studio
Horizon Forbidden West,Action role-playing,Guerrilla Games,Sony Interactive Entertainment
Horizon Zero Dawn,Action role-playing,Guerrilla Games,Sony Interactive Entertainment
Horned Knight,Action platform,Josep Monzonis Hernandez,2Awesome Studio
Horror Break,Arcade,Smobile,Smobile
Horror Break: Head to Head,Arcade,Smobile,Smobile
Hotel Life: A Resort Simulator,Business simulation,RingZero Game Studio,Nacon
Hotel Transylvania 3: Monsters Overboard,Action,Torus Games,Outright Games
Hotel Transylvania: Scary-Tale Adventures,Platform,Drakhar Studio,Outright Games
Hotline Miami,Top-down shooter,Dennaton Games,Devolver Digital
Hotline Miami 2: Wrong Number,Top-down shooter,Dennaton Games,Devolver Digital
Hot Springs Story,Business simulation,Kairosoft,Kairosoft
Hotshot Racing,Racing,Lucky Mountain Games,Sumo Digital
Hot Wheels Unleashed,Racing,Milestone,Milestone
House Flipper,Simulation,Empyrean,Frozen District
The House in Fata Morgana: Dream of the Revenants Edition,Visual novel,Novectacle,Limited Run Games
How to Survive: Storm Warning Edition,"Action role-playing, survival",Eko Software,505 Games
How to Survive 2,"Action role-playing, survival",Eko Software,505 Games
How To Take Off Your Mask Remastered,Visual novel,Roseverte,Ratalaika Games
Hue,Puzzle-platform,Fiddlesticks,Curve Digital
Human: Fall Flat,"Physics, puzzle",No Brakes Games,Curve Digital
Humanity,Action,Tha,Enhance Games
Huntdown,Arcadeshooter,Easy Trigger Games,Coffee Stain Publishing
Hunt: Showdown,First-person shooter,Crytek,Crytek
The Huntsman: Winter's Curse,Adventurerole-playing,Desert Owl Games,Desert Owl Games
Hyper Jam,Arena brawler,Bit Dragon,Bit Dragon
Hyper Light Drifter,Action role-playing,Heart Machine,Heart Machine
Hyper Void,Shooter,IN|Framez,IN|Framez
HyperParasite,Twin-stick shooterroguelike,Troglobytes Games,Troglobytes Games
Hypnospace Outlaw,Simulationpuzzle,Tendershoot,No More Robots
"I, AI",Shoot 'em up,Satur Entertainment,Sometimes You
I Am Bread,Puzzle,Bossa Studios,Bossa Studios
I Am Dead,Adventure,Hollow Ponds,Annapurna Interactive
I Am Setsuna,Role-playing,Tokyo RPG Factory,Square Enix
Ice Age: Scrat's Nutty Adventure,"Action, Adventure",Outright Games,Outright Games
Icewind Dale: Enhanced Edition,Role-playing,Beamdog,Skybound Games
Icey,Hack and slash,X.D. Network,X.D. Network
Iconoclasts,Actionplatform,Konjak,Bifrost Entertainment
The Idolmaster Platinum Stars,Musicrhythm,Bandai Namco Entertainment,Bandai Namco Entertainment
The Idolmaster: Starlit Season,Musicrhythm,Bandai Namco Entertainment,Bandai Namco Entertainment
The Idolmaster: Stella Stage,Musicrhythm,Bandai Namco Entertainment,Bandai Namco Entertainment
Ikaruga,Shoot 'em up,Treasure,Nicalis
Ikenfell,Tactical role-playing,Happy Ray Games,Humble Games
Illusion of L'Phalcia,Role-playing,Exe Create,Kemco
Immortal Planet,Action role-playing,Teedoubleu Games,Monster Couch
Immortal Realms: Vampire Wars,Turn-based strategy,Palindrome,Kalypso Media
Immortal Redneck,Shooter,CremaGames,CremaGames
Immortal: Unchained,Action role-playing,Toadman Interactive,Game Odyssey
Immortals Fenyx Rising,Action-adventure,Ubisoft Quebec,Ubisoft
Impact Winter,Survival,Bandai Namco Entertainment,Bandai Namco Entertainment
In Between,Platform,Gentlymad,Headup Games
Inazuma Eleven: Great Road of Heroes,Role-playingsports,Level-5,Level-5
Infliction: Extended Cut,Survival horror,Caustic Reality,Blowfish Studios
In Celebration of Violence,Roguelike,Julian Edison,Dolores Entertainment
The Incredible Adventures of Van Helsing,Action role-playing,NeocoreGames,NeocoreGames
The Incredible Adventures of Van Helsing II,Action role-playing,NeocoreGames,NeocoreGames
The Incredible Adventures of Van Helsing III,Action role-playing,NeocoreGames,NeocoreGames
Industry Giant II,Business simulation,Fancy Bytes,UIG Entertainment
Indivisible,Action role-playing,Lab Zero Games,505 Games
Inertial Drift,Racing,Level 91 Entertainment,PQube
Infamous First Light,Action-adventure,Sucker Punch Productions,Sony Computer Entertainment
Infamous Second Son,Action-adventure,Sucker Punch Productions,Sony Computer Entertainment
Infernax,Action-adventure,Berzerk Studio,The Arcade Crew
Inferno 2,Shoot 'em up,Radiangames,2Awesome Studio
Inferno Climber: Reborn,Action role-playing,Arc System Works,Arc System Works
Infinifactory,Puzzle,Zachtronics,Zachtronics
Infinite Minigolf,Sports,Zen Studios,Zen Studios
Injustice: Gods Among Us Ultimate Edition,Fighting,High Voltage Software,WB Games
Injustice 2,Fighting,NetherRealm Studios,WB Games
The Inner Friend,Psychological horror,Playmind,Global Mind
The Inner World,Point-and-click adventure,Studio Fizbin,Headup Games
In Nightmare,Action-adventurehorror,Magicfish Studio,Maximum Games
The Inpatient,Interactive drama,Supermassive Games,Sony Interacive Entertainment
In Rays of the Light,Action-adventure,Sergey Noskov,Sometimes You
Insane Robots,Turn-based strategy,Playniac,Playniac
Inside,Platform,Playdead,Playdead
Inside My Radio,"Platform, rhythm",Seaven Studio,Iceberg Interactive
Insurgency: Sandstorm,First-person shooter,New World Interactive,Focus Home Interactive
In the Shadows,"Platform, puzzle",Colorspace Studio,Colorspace Studio
Inuwashi: Urabure Tantei to Ojou-sama Keiji no Ikebukuro Jiken File,Visual novel,Orange,Orange
Invector,Musicrhythm,Hello There,Hello There
Inversus,Actionpuzzle,Hypersect,Hypersect
"Invisible, Inc.",Turn-based tactics,Klei Entertainment,Klei Entertainment
The Invisible Hours,Adventuremystery,Tequila Works,Game Trust
Invisigun Reloaded,Action,Sombr Studio,Sombr Studio
iO,"Platform, puzzle",Gamious,Gamious
Ion Driver,Racing,Moon Whale Studio,Gammera Nest
Ion Fury,First-person shooter,Voidpoint,1C Online Games
Iris.Fall,Puzzle adventure,NExT Studios,PM Studios
Ironcast,"Puzzle, strategy",Dreadbit,Dreadbit
Ironclad Tactics,Strategy,Zachtronics,Zachtronics
Iron Crypticle,Role-playingshooter,Confused Pelican,Tikipod
Iron Harvest,Real-time strategy,King Art Games,Deep Silver
Iron Sea Defenders,Tower defense,Creobit,8 Floor Games
Irony Curtain: From Matryoshka with Love,Puzzlehidden object,Artifex Mundi,Artifex Mundi
Is It Wrong to Try to Pick Up Girls in a Dungeon? Infinite Combat,Action role-playing,5pb.,5pb.
Island,Visual novel,Frontwing,Prototype
It's Quiz Time,Quiz,Snap Finger Click,Vision Games
It Takes Two,Adventureplatform,Hazelight Studios,Electronic Arts
Ittle Dew 2,Action-adventure,Ludosity,Nicalis
J-Stars Victory Vs+,Fighting,Spike Chunsoft,Bandai Namco Entertainment
The Jackbox Party Pack,Partytrivia,Jackbox Games,Jackbox Games
The Jackbox Party Pack 2,Partytrivia,Jackbox Games,Jackbox Games
The Jackbox Party Pack 3,Partytrivia,Jackbox Games,Jackbox Games
The Jackbox Party Pack 4,Partytrivia,Jackbox Games,Jackbox Games
The Jackbox Party Pack 5,Partytrivia,Jackbox Games,Jackbox Games
The Jackbox Party Pack 6,Partytrivia,Jackbox Games,Jackbox Games
The Jackbox Party Pack 7,Partytrivia,Jackbox Games,Jackbox Games
Jamestown+,Shoot 'em up,Final Form Games,Final Form Games
Japanese Rail Sim: Journey to Kyoto,Simulation,Sonic Powered,Sonic Powered
Jazzpunk: Director's Cut,"Adventure, art",Necrophone Games,Adult Swim Games
Jay and Silent Bob: Mall Brawl,Beat 'em up,Sponny Bard Productions,Interabang Entertainment
Jenny LeClue: Detectivú,"Adventure, puzzle",Mografi,Mografi
Jeopardy!,Quiz,Frima Studio,Ubisoft
Jet Car Stunts,Racing,Grip Digital,Grip Digital
Jetpack Joyride,Platform,Big Ant Studios,Big Ant Studios
Jet Set Knights,Avtion-platform,FobTi interactive,Ratalaika Games
Jett: The Far Shore,Action-adventure,SuperbrothersPine Scented,Superbrothers
Jikkyou Powerful Pro Baseball 2016,Sports,Konami,Konami
Jikkyou Powerful Pro Baseball 2018,Sports,Konami,Konami
Jinki Resurrection,Visual novel,Giga,Entergram
Jisei: The First Case HD,Visual novel,Sakevisual,Ratalaika Games
Joe Dever's Lone Wolf,Role-playing,Forge Reply,505 Games
John Wick Hex,Actionstrategy,Bithell Games,Good Shepherd Entertainment
JoJo's Bizarre Adventure: Eyes of Heaven,Fighting,CyberConnect2,Bandai Namco Entertainment
Jotun: Valhalla Edition,Action-adventure,Thunder Lotus Games,Thunder Lotus Games
Journey,Action-adventure,That Game Company,Sony Computer Entertainment
Journey to the Savage Planet,Adventuremetroidvania,Typhoon Studios,505 Games
Joysound Dive 2,"Karaoke, music",Xing Entertainment,Xing Entertainment
Judgment,Action-adventure,Sega,Sega
Jumanji: The Video Game,Adventure,Funsolve,Bandai NamcoOutright Games
Jump Force,Fighting,Spike Chunsoft,Bandai Namco Entertainment
Jump King,Platform-adventure,Nexile,Ukiyo Publishing
Jump Stars,"Action, party",Jamit Games,Curve Digital
Jurassic World Evolution,Simulation,Frontier Developments,Frontier Developments
Just Cause 3,Action-adventure,Avalanche Studios,Square Enix
Just Cause 4,Action-adventure,Avalanche Studios,Square Enix
Just Dance 2014,Musicrhythm,Ubisoft Milan,Ubisoft
Just Dance 2015,Musicrhythm,Ubisoft Paris,Ubisoft
Just Dance 2016,Musicrhythm,Ubisoft Paris,Ubisoft
Just Dance 2017,Musicrhythm,Ubisoft Paris,Ubisoft
Just Dance 2018,Musicrhythm,Ubisoft Paris,Ubisoft
Just Dance 2019,Musicrhythm,Ubisoft Paris,Ubisoft
Just Dance 2020,Musicrhythm,Ubisoft Paris,Ubisoft
Just Dance 2021,Musicrhythm,Ubisoft Paris,Ubisoft
Just Deal With It!,Card gameparty,Super Punk Games,Sony Interactive Entertainment
Just Die Already,Action-adventure,DoubleMoose,Curve Digital
Just Sing,Rhythm,iNiS,Ubisoft
Jydge,Shooter,10tons,10tons
Kandagawa Jet Girls,Racing,Honey Parade Games,JP: MarvelousWW: Marvelous
Kamen Rider: Battride War Genesis,"Action, beat 'em up",Eighting,Bandai Namco Entertainment
Kamen Rider: Climax Fighters,Fighting,Eighting,Bandai Namco Entertainment
Kamen Rider: Memory of Heroez,Action,Bandai Namco,Bandai Namco Entertainment
Kamiko,Action,Skipmore,Flyhigh Works
Kao the Kangaroo,Platform,Tate Multimedia,Tate Multimedia
Karumaruka Circle,Visual novel,Saga Planets,Entergram
Katamari Damacy Reroll,Puzzleaction,Bandai Namco,Bandai Namco
Katana Kami: A Way of the Samurai Story,Role-playinghack and slash,Acquire,Spike Chunsoft
Kaze and the Wild Masks,Platform,PixelHive,Soedesco
Keep Talking and Nobody Explodes,Puzzle,Steel Crate Games,Steel Crate Games
Ken Follett's The Pillars of the Earth,Adventure,Daedalic Entertainment,Daedalic Entertainment
Kena: Bridge of Spirits,Adventure,Ember Lab,Ember Lab
Kentucky Route Zero: TV Edition,Adventure,Cardboard Computer,Annapurna Interactive
Kerbal Space Program,Simulation,Squad,Squad
Kerbal Space Program 2,Simulation,SquadStar Theory Games,Private Division
Kero Blaster,Platform,Studio Pixel,Playism
Ketsui Deathtiny: Kizuna Jigoku Tachi,Shoot 'em up,CaveM2,M2
Kholat,Survival horror,Imgn Pro,Imgn Pro
Kick Off Revival,Sports,Dino Dini,The Digital Lounge
KickBeat: Special Edition,"Music, rhythm",Zen Studios,Zen Studios
Killing Floor 2,First-person shooter,Tripwire Interactive,Iceberg Interactive
Killing Floor: Double Feature,First-person shooter,Tripwire Interactive,Tripwire Interactive
Kill It With Fire,Simulation,Case Donnella Games,tinyBuild
Kill la Kill: If,Fighting,A+ Games,EU: PQubeWW: Arc System Works
Killzone: Shadow Fall,First-person shooter,Guerrilla Games,Sony Computer Entertainment
Kingdom Come: Deliverance,Action role-playing,Warhorse Studios,Deep Silver
Kingdom Hearts HD 1.5 + 2.5 Remix,Action role-playing,Square,Square
Kingdom Hearts HD 2.8 Final Chapter Prologue,Action role-playing,Square Enix,Square Enix
Kingdom Hearts: Melody of Memory,Role-playingmusicrhythm,Square Enix,Square Enix
Kingdom Hearts: The Story So Far,Action role-playing,Square Enix,Square Enix
Kingdom Hearts III,Action role-playing,Square Enix,Square Enix
Kingdom of Night,Action role-playing,Black Seven Studios,Dangen Entertainment
Kingdom: New Lands,Adventurestrategy,Noio,Raw Fury
Kingdom: Two Crowns,Adventurestrategy,Noio,Raw Fury
Kingdoms of Amalur: Re-Reckoning,Role-playinghack-and-slash,Kaiko,THQ Nordic
Kingmaker: Rise to the Throne,Puzzlehidden object,Cordelia Games,Artifex Mundi
King Oddball,Puzzle,10tons,10tons
The King of Fighters 2002: Unlimited Match,Fighting,Code Mystics,SNK
The King of Fighters '97 Global Match,Fighting,SNK,SNK
The King of Fighters XIV,Fighting,SNK,SNK
The King of Fighters XV,Fighting,SNK,SNK
King of Seas,Action-role playing,3DClouds,Team17
Kingpin: Reloaded,First-person shooter,Slipgate Ironworks,3D Realms
King's Bounty II,Tactical role-playing,1C Company,Prime Matter
Kings of Lorn: The Fall of Ebris,Action-adventure,TeamKill MediaMicah Jones,TeamKill Media
King's Quest,Adventure,The Odd Gentlemen,Sierra Entertainment
Kin'iro Loveriche,Visual novel,Saga Planets,Entergram
Kin'iro Loveriche: Golden Time,Visual novel,Saga Planets,Entergram
Kitaria Fables,Action-adventurerole-playing,Twin Hearts,PQube
Kitty Powers' Matchmaker,Simulation,Magic Notion,Stellar Entertainment
Klaus,Platform,La Cosa Entertainment,La Cosa Entertainment
Knack,Platformbeat 'em up,Japan Studio,Sony Computer Entertainment
Knack 2,Platformbeat 'em up,Japan Studio,Sony Interactive Entertainment
Knightin'+,Dungeon crawler,Muzt Die Studios,Ratalaika Games
Knights and Bikes,"Adventure, platform",Foam Sword,Double Fine Productions
A Knight's Quest,Action-adventure,Sky9 Games,Curve Digital
Knock-Knock,Adventuresurvival horror,Ice-Pick Lodge,Ice-Pick Lodge
Knockout City,Sports,Velan Studios,Electronic Arts
Knot,Puzzle,Warlock Arts,Warlock Arts
Knowledge is Power,Partyquiz,Wish Studios,Sony Interactive Entertainment
Knowledge is Power: Decades,Partyquiz,Wish Studios,Sony Interactive Entertainment
Koi,"Adventure, puzzle",Dotoyou,Oasis Games
Koihime Enbu,Fighting,Yeti,BaseSon
Koihime Enbu RyoRaiRai,Fighting,Unknown GamesM2,Degica Games
Kona,Adventuresurvival,Parabole Studios,Ravenscourt
Kotodama: The 7 Mysteries of Fujisawa,Visual novel,"Art Co., Ltd",PQube
Kowloon's Rhizome: A Day of the Fire,Adventure,MCFUani Studio,Uani Studio
Kromaia Omega,Shoot 'em up,Kraken Empire,Rising Star Games
Kunio-kun: The World Classics Collection,Action,Arc System Works,Arc System Works
Kwaidan: Azuma Manor Story,Action-adventure,Gudouan,Mediascape
Labyrinth Life,Role-playing,Matrix Software,D3 Publisher
Labyrinth of Galleria: Coven of Dusk,Role-playing,Nippon Ichi Software,Nippon Ichi Software
Labyrinth of Refrain: Coven of Dusk,Role-playing,Nippon Ichi Software,NIS America
Labyrinth of Zangetsu,Role-playing,Acquire,Acquire
LA Cops,Action,Modern Dream,Team17
Laid-Back Camp: Have a Nice Day!,Adventure,Mages,Mages
Laid-Back Camp -Virtual- Fumoto Campsite,Adventure,Gemdrops,Gemdrops
Laid-Back Camp -Virtual- Lake Motosu,Adventure,Gemdrops,Gemdrops
Lair of the Clockwork God,Point-and-clickplatform,Size Five Games,Size Five Games
L.A. Noire,Action-adventure,Team Bondi,Rockstar Games
La-Mulana,Platform-adventure,GR3 ProjectNigoro,JP: PlayismWW: NIS America
La-Mulana 2,Platform-adventure,GR3 ProjectNigoro,JP: PlayismWW: NIS America
Langrisser I & II HD Remastered,Tactical role-playing,Chara-Ani,JP: Kadokawa GamesWW: NIS America
The Language of Love,Visual novel,ebi-hime,Ratalaika Games
Lapis x Labyrinth,Role-playing,NIS America,NIS America
Lara Croft and the Temple of Osiris,Actionplatform,Crystal Dynamics,Square Enix
Lara Croft Go,Puzzle,Square Enix Montréal,Square Enix
Laser League,Sports,Roll7,505 Games
Laserlife,Rhythm,Choice Provisions,Choice Provisions
The Last Blade 2,Fighting,Code Mystics,SNK Playmore
The Last Campfire,Adventure,Hello Games,Hello Games
